"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"59","3/31/2025","Robbery","Outside","Personal weapons","Female","16","None reported","Hispanic or Latino","700 N MILTON AVE","Southeast","Milton-Montford",39.299194,-76.582396,"Street","11:10:00",""
"60","3/31/2025","Robbery","Outside","Handgun","Male","23","Black or African American","Unknown","3400 MANNASOTA AVE","Eastern","Belair-Edison",39.320739,-76.570397,"Street","10:15:00",""
"61","4/1/2025","Robbery - carjacking","Inside","Handgun","Male","44","White","Unknown","1500 BANK ST","Central","Fells Point",39.286409,-76.596754,"Convenience store","12:57:00",""
"62","4/1/2025","Robbery","Outside","Knife/cutting instrument","Female","23","Black or African American","Not Hispanic or Latino","300 S WASHINGTON ST","Central","Upper Fells Point",39.28778,-76.58899,"Street","1:20:00",""
"63","4/6/2025","Robbery","Inside","Personal weapons","Female","54","Black or African American","Unknown","2000 E NORTH AVE","Eastern","Broadway East",39.312318,-76.589559,"Convenience store","6:00:00",""
"64","4/6/2025","Robbery","Outside","Handgun","Male","None reported","None reported","Hispanic or Latino","600 N ELLWOOD AVE","Southeast","Ellwood Park/Monument",39.298126,-76.57382,"Street","8:00:00",""
"65","4/6/2025","Robbery","Outside","Personal weapons","Female","42","Black or African American","Unknown","300 N PACA ST","Central","University Of Maryland",39.292824,-76.622538,"Street","1:30:00",""
"66","4/6/2025","Robbery - commercial","Outside","Personal weapons",NA,"None reported","None reported",NA,"3300 W BALTIMORE ST","Southwest","Saint Josephs",39.285862,-76.672393,"Gas station","10:32:00",""
"67","4/4/2025","Robbery - carjacking","Outside","Handgun","Female","56","Black or African American","Unknown","6800 STURBRIDGE DR","Northeast","Hamilton Hills",39.368557,-76.56266,"Shed/garage","3:30:00",""
"68","4/5/2025","Robbery","Inside","Personal weapons","Male","66","White","Not Hispanic or Latino","1300 WELDON AVE","Northern","Medfield",39.337465,-76.640132,"Other/residential","3:55:00",""
"69","4/4/2025","Robbery","Inside","Handgun","Male","42","Black or African American","Not Hispanic or Latino","4000 BOARMAN AVE","Northwest","Dorchester",39.334128,-76.684806,"Other/residential","5:00:00",""
"70","4/4/2025","Robbery - commercial","Inside","Personal weapons",NA,"None reported","None reported",NA,"2200 E MONUMENT ST","Southeast","Middle East",39.298756,-76.585724,"Wholesaler/store","9:40:00",""
"71","4/4/2025","Robbery","Inside","Personal weapons","Female","36","Black or African American","Not Hispanic or Latino","2200 E MONUMENT ST","Southeast","Middle East",39.298756,-76.585724,"Wholesaler/store","9:40:00",""
"72","4/4/2025","Robbery","Outside","Personal weapons","Female","35","White","Unknown","100 N HOWARD ST","Central","Downtown",39.29051,-76.619573,"Street","4:00:00",""
"73","3/31/2025","Robbery","Outside","Personal weapons","Male","16","Black or African American","Not Hispanic or Latino","1100 DRUID HILL AVE","Western","Upton",39.300369,-76.626641,"Street","12:39:00",""
"74","3/25/2025","Robbery","Outside",NA,"Male","14","Unknown","Hispanic or Latino","200 S FAGLEY ST","Southeast","Highlandtown",39.290319,-76.564445,"Street","9:20:00",""
"75","3/27/2025","Robbery","Inside","Personal weapons","Female","37","White","Not Hispanic or Latino","1600 WILKENS AVE","Southwest","Mount Clare",39.283129,-76.643074,"Convenience store","10:42:00",""
"76","4/1/2025","Robbery","Inside","Personal weapons","Male","30","White","Not Hispanic or Latino","10 LIGHT ST","Central","Downtown",39.288994,-76.613804,"Other/residential","12:30:00",""
"77","3/31/2025","Robbery","Outside","Personal weapons","Female","16","Black or African American","Not Hispanic or Latino","2800 OAKLEY AVE","Northern","Cylburn",39.348931,-76.665727,"Street","8:20:00",""
"78","3/23/2025","Robbery - commercial","Inside","Personal weapons",NA,"None reported","None reported",NA,"2200 E MONUMENT ST","Southeast","Care",39.298624,-76.586217,"Wholesaler/store","6:05:00",""
"79","3/23/2025","Robbery","Inside","Personal weapons","Male","20","Black or African American","Not Hispanic or Latino","2200 E MONUMENT ST","Southeast","Care",39.298624,-76.586217,"Wholesaler/store","6:05:00",""
"80","3/25/2025","Robbery","Outside","Personal weapons","Female","10","Black or African American","Not Hispanic or Latino","200 W HAMBURG ST","Southern","Sharp-Leadenhall",39.278315,-76.618324,"Park","10:20:00",""
"81","4/3/2025","Robbery","Inside","Personal weapons","Female","21","Black or African American","Not Hispanic or Latino","2100 WILKENS AVE","Southwest","Carrollton Ridge",39.28114,-76.649713,"Other/residential","3:00:00",""
"82","4/3/2025","Robbery","Inside","Personal weapons","Female","48","Asian","Unknown","1600 THAMES ST","Central","Fells Point",39.281151,-76.594439,"Convenience store","4:10:00",""
"83","4/4/2025","Robbery","Outside","Firearm","Male","29","White","Not Hispanic or Latino","2 PARK AVE","Central","Downtown",39.289469,-76.618122,"Street","1:45:00",""
"84","3/28/2025","Robbery","Outside","Handgun","Male","13","Black or African American","Unknown","1600 N BENTALOU ST","Western","Coppin Heights/Ash-Co-East",39.306442,-76.653992,"Street","5:30:00",""
"85","4/3/2025","Robbery","Inside","Personal weapons","Female","26","White","Not Hispanic or Latino","1300 PONTIAC AVE","Southern","Curtis Bay",39.231768,-76.592413,"Other/residential","7:27:00",""
"86","4/3/2025","Robbery","Outside","Personal weapons","Male","20","White","Not Hispanic or Latino","4300 BELAIR RD","Northeast","Belair-Parkside",39.328331,-76.565331,"Street","6:30:00",""
"87","4/3/2025","Robbery","Outside","Motor vehicle vessel","Male","32","Black or African American","Unknown","500 N MONROE ST","Western","Midtown-Edmondson",39.294538,-76.647358,"Street","10:20:00",""
"88","3/30/2025","Robbery","Outside","Personal weapons","Female","42","White","Hispanic or Latino","10 S CHARLES ST","Central","Downtown",39.28918,-76.615192,"Street","12:00:00",""
"89","3/30/2025","Robbery","Outside","Handgun","Male","26","Black or African American","Not Hispanic or Latino","1300 N EDEN ST","Eastern","Oliver",39.305206,-76.599655,"Street","3:00:00",""
"90","3/30/2025","Robbery","Outside","Fire incendiary device","Female","18","Black or African American","Not Hispanic or Latino","900 N CAROLINE ST","Central","Gay Street",39.301352,-76.597869,"Street","3:00:00",""
