"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"644","4/24/2025","Larceny","Outside","None reported","Female","36","Black or African American","Unknown","4 E BIDDLE ST","Central","Mid-Town Belvedere",39.303511,-76.615456,"Street","3:15","p.m."
"645","4/24/2025","Larceny","Inside","None reported","Male","29","Black or African American","Unknown","","Central","Washington Hill",39.291677,-76.591362,"Other/residential","3:18","p.m."
"646","4/24/2025","Larceny","Inside","None reported","Male","68","Black or African American","Not Hispanic or Latino","1200 W LOMBARD ST","Southwest","Hollins Market",39.286516,-76.637496,"Other/residential","4:00","p.m."
"647","4/24/2025","Larceny","Inside","None reported","Male","28","White","Unknown","500 E 22ND ST","Eastern","East Baltimore Midway",39.314466,-76.609324,"Other/residential","4:02","p.m."
"648","4/24/2025","Larceny of motor vehicle parts or accessories","Outside","None reported","Female","34","Black or African American","Not Hispanic or Latino","1800 MARYLAND AVE","Eastern","Charles North",39.31027,-76.617937,"Street","4:30","p.m."
"649","4/24/2025","Larceny from auto","Outside","None reported","Male","42","Black or African American","Unknown","4200 CURTIS AVE","Southern","Curtis Bay",39.227447,-76.58711,"Street","5:00","p.m."
"650","4/24/2025","Larceny","Outside","None reported","Female","24","Black or African American","Unknown","2000 ORLEANS ST","Southeast","Care",39.295282,-76.58931,"Gas station","5:30","p.m."
"651","4/24/2025","Larceny from auto","Outside","None reported","Male","38","None reported","Hispanic or Latino","4300 SHAMROCK AVE","Eastern","Belair-Edison",39.326982,-76.563648,"Street","6:00","p.m."
"652","4/24/2025","Larceny from auto","Outside","None reported","Male","34","White","Unknown","200 S AUGUSTA AVE","Southwest","Irvington",39.283411,-76.684791,"Street","6:15","p.m."
"653","4/24/2025","Larceny","Inside","None reported","Male","49","None reported","Unknown","300 N CHARLES ST","Central","Downtown",39.292363,-76.615264,"Other/residential","6:24","p.m."
"654","4/24/2025","Larceny","Inside","None reported","Male","65","Black or African American","Not Hispanic or Latino","800 STAMFORD RD","Southwest","West Hills",39.294501,-76.708633,"Other/residential","6:57","p.m."
"655","4/24/2025","Larceny","Outside","None reported","Female","24","Black or African American","Not Hispanic or Latino","2400 DORTON CT","Southern","Westport",39.262138,-76.640487,"Street","7:00","p.m."
"656","4/24/2025","Larceny","Inside","None reported","Female","36","White","Not Hispanic or Latino","3600 ELM AVE","Northern","Hampden",39.33209,-76.631367,"Other/residential","7:39","p.m."
"657","4/24/2025","Larceny from auto","Inside","None reported","Female","19","Black or African American","Not Hispanic or Latino","100 N SCHROEDER ST","Southwest","Poppleton",39.289962,-76.63377,"Other/residential","8:18","p.m."
"658","4/24/2025","Larceny of motor vehicle parts or accessories","Inside","None reported","Female","19","Black or African American","Not Hispanic or Latino","100 N SCHROEDER ST","Southwest","Poppleton",39.289962,-76.63377,"Other/residential","8:18","p.m."
"659","4/24/2025","Larceny from auto","Outside","None reported","Female","35","Black or African American","Not Hispanic or Latino","2600 GROGAN AVE","Eastern","Berea",39.306384,-76.580739,"Street","8:30","p.m."
"660","4/24/2025","Larceny from auto","Outside","None reported","Female","60","Black or African American","Not Hispanic or Latino","2600 GROGAN AVE","Eastern","Berea",39.306384,-76.580739,"Street","8:30","p.m."
"661","4/24/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","600 E PRATT ST","Central","Inner Harbor",39.28679,-76.60772,"Wholesaler/store","8:48","p.m."
"662","4/24/2025","Larceny of motor vehicle parts or accessories","Inside","None reported","Male","33","Black or African American","Not Hispanic or Latino","6200 PIMLICO RD","Northwest","Cheswolde",39.368758,-76.676917,"Other/residential","9:00","p.m."
"663","4/24/2025","Larceny of motor vehicle parts or accessories","Outside","None reported","Female","59","Asian","Unknown","200 N DUNCAN ST","Southeast","Care",39.294703,-76.587074,"Street","9:00","p.m."
"664","4/24/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","3500 BOSTON ST","Southeast","Canton Industrial Area",39.277021,-76.566929,"Wholesaler/store","9:00","p.m."
"665","4/24/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","200 N HOWARD ST","Central","Downtown",39.292315,-76.619543,"Convenience store","9:57","p.m."
"666","4/24/2025","Larceny","Inside","None reported","Male","None reported","None reported","Unknown","2000 PENROSE AVE","Southwest","Penrose/Fayette Street Outreach",39.291262,-76.649423,"Other/residential","10:00","p.m."
"667","4/24/2025","Larceny","Inside","None reported","Female","32","Black or African American","Not Hispanic or Latino","100 DIENER PL","Southwest","Irvington",39.28377,-76.687747,"Other/residential","10:00","p.m."
"668","4/24/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","3600 POTEE ST","Southern","Brooklyn",39.238296,-76.611111,"Convenience store","10:10","p.m."
"669","4/24/2025","Larceny from auto","Inside","None reported","Male","34","Black or African American","Not Hispanic or Latino","3600 GIBBONS AVE","Northeast","Waltherson",39.344502,-76.556193,"Other/residential","10:30","p.m."
"670","4/24/2025","Larceny from auto","Outside","None reported","None reported","None reported","None reported","None Reported","800 RAPPOLLA ST","Southeast","Greektown",39.283478,-76.552817,"Street","10:40","p.m."
"671","4/24/2025","Larceny from auto","Inside","None reported","Male","None reported","Black or African American","Not Hispanic or Latino","1200 W PRATT ST","Southern","Washington Village/Pigtown",39.285542,-76.637528,"Shopping malls/cntr","11:24","p.m."
"672","4/24/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","6300 YORK RD","Northern","Lake Walker",39.370541,-76.609735,"Wholesaler/store","11:24","p.m."
"673","4/25/2025","Larceny from auto","Outside","None reported","Female","48","Black or African American","Not Hispanic or Latino","3400 MOUNT PLEASANT AVE","Southeast","Baltimore Highlands",39.290804,-76.568588,"Street","12:00","a.m."
"674","4/25/2025","Larceny from auto","Outside","None reported","Male","49","Black or African American","Unknown","3000 ELLERSLIE AVE","Northern","Better Waverly",39.324659,-76.605296,"Street","12:00","a.m."
"675","4/25/2025","Larceny","Inside","None reported","Male","65","Black or African American","Not Hispanic or Latino","3000 TIOGA PKWY","Northwest","Parkway",39.316116,-76.659242,"Other/residential","12:25","a.m."
"676","4/25/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","3900 BOSTON ST","Southeast","Brewers Hill",39.277239,-76.56323,"Wholesaler/store","12:45","a.m."
"677","4/25/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","1100 W 41ST ST","Northern","Hampden",39.337831,-76.636468,"Convenience store","1:00","a.m."
"678","4/25/2025","Larceny from auto","Outside","None reported","Male","41","Black or African American","Not Hispanic or Latino","2700 BERYL AVE","Southeast","Biddle Street",39.303181,-76.579673,"Street","1:00","a.m."
"679","4/25/2025","Larceny from auto","Outside","None reported","Female","61","White","Hispanic or Latino","1 S HIGHLAND AVE","Southeast","Baltimore Highlands",39.292428,-76.569332,"Street","1:50","a.m."
"680","4/25/2025","Larceny of motor vehicle parts or accessories","Outside","None reported","Female","71","Black or African American","Not Hispanic or Latino","3600 CHESTERFIELD AVE","Eastern","Belair-Edison",39.317878,-76.563178,"Street","2:00","a.m."
"681","4/25/2025","Larceny from auto","Outside","None reported","Male","30","Black or African American","Unknown","600 MOZART WAY","Southeast","Brewers Hill",39.285687,-76.561681,"Street","2:00","a.m."
"682","4/25/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","1500 62ND ST","Southeast","Pulaski Industrial Area",39.310944,-76.530961,"Convenience store","3:04","a.m."
"683","4/25/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","600 S EXETER ST","Central","Harbor East",39.283917,-76.600349,"Convenience store","3:10","a.m."
"684","4/25/2025","Larceny of motor vehicle parts or accessories","Outside","None reported","Female","41","Black or African American","Unknown","1700 EUTAW PL","Western","Bolton Hill",39.307219,-76.629773,"Street","3:51","a.m."
"685","4/25/2025","Larceny from auto","Outside","None reported","Male","61","Asian","Not Hispanic or Latino","3400 GREENMOUNT AVE","Northern","Waverly",39.330044,-76.609369,"Street","4:00","a.m."
