"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"258","4/7/2025","Auto theft","Outside","None reported","Female","42","Black or African American","Not Hispanic or Latino","2200 BROOKFIELD AVE","Western","Reservoir Hill",39.312863,-76.632821,"Shed/garage","3:00","p.m."
"259","4/7/2025","Auto theft","Outside","None reported","Male","26","Black or African American","Unknown","100 W MONTGOMERY ST","Southern","Otterbein",39.280175,-76.617244,"Street","3:30","p.m."
"260","4/7/2025","Auto theft","Outside","None reported","Female","22","Black or African American","Not Hispanic or Latino","1200 W PRATT ST","Southern","Washington Village/Pigtown",39.285584,-76.636678,"Shed/garage","7:15","p.m."
"261","4/7/2025","Auto theft","Outside","None reported","Male","35","Black or African American","Not Hispanic or Latino","1800 N CHARLES ST","Eastern","Charles North",39.309851,-76.616544,"Shed/garage","7:30","p.m."
"262","4/7/2025","Auto theft","Inside","None reported","Male","26","Black or African American","Not Hispanic or Latino","1300 EUTAW PL","Western","Madison Park",39.303944,-76.626459,"Other/residential","8:34","p.m."
"263","4/7/2025","Auto theft","Outside","None reported","Female","61","Asian","Unknown","1900 N CHARLES ST","Eastern","Charles North",39.311406,-76.616501,"Street","9:00","p.m."
"264","4/7/2025","Auto theft","Outside","None reported","Female","66","Black or African American","Not Hispanic or Latino","1200 SHERWOOD AVE","Northeast","Ramblewood",39.365876,-76.591843,"Street","11:00","p.m."
"265","4/7/2025","Auto theft","Outside","None reported","None reported","None reported","None reported","None Reported","1000 BRANTLEY AVE","Western","Harlem Park",39.296258,-76.634624,"Street","11:30","p.m."
"266","4/8/2025","Auto theft","Outside","None reported","Male","26","White","Unknown","600 S HAVEN ST","Southeast","Brewers Hill",39.28567,-76.562272,"Street","1:00","a.m."
"267","4/8/2025","Auto theft","Outside","None reported","Male","47","None reported","Hispanic or Latino","2500 MARBOURNE AVE","Southern","Lakeland",39.254007,-76.650112,"Street","2:30","a.m."
"268","4/8/2025","Auto theft","Inside","None reported","Male","36","None reported","Unknown","7700 BAGLEY AVE","Northeast","Taylor Heights",39.371308,-76.538528,"Other/residential","3:00","p.m."
"269","4/8/2025","Auto theft","Outside","None reported","Male","30","Black or African American","Unknown","2300 EUTAW PL","Western","Reservoir Hill",39.312054,-76.635642,"Street","6:02","p.m."
"270","4/8/2025","Auto theft","Inside","None reported","Female","31","White","Not Hispanic or Latino","1200 GOUGH ST","Central","Little Italy",39.287256,-76.600049,"Other/residential","7:35","p.m."
"271","4/8/2025","Auto theft","Inside","None reported","Male","32","None reported","Hispanic or Latino","800 W PRATT ST","Southwest","Hollins Market",39.28594,-76.631468,"Other/residential","8:00","p.m."
